# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 100000
# Na = 1000
# Fc = 100000
# kB = 64
#
# run	success	duration[mus]
0	1	10695239	
1	1	16365363	
2	1	14143008	
3	1	427209	
4	0	16568584	
5	1	2540788	
6	0	16522872	
7	1	3862009	
8	0	16578417	
9	1	818481	
10	1	296896	
11	0	16555297	
12	1	4203673	
13	0	16583240	
14	1	12104625	
15	1	14968382	
16	0	16530106	
17	1	10209557	
18	0	16543425	
19	0	16552701	
20	1	9528437	
21	0	16543896	
22	1	13747726	
23	0	16529658	
24	1	14430168	
25	1	1545286	
26	1	2288425	
27	1	10518179	
28	1	13288099	
29	1	14553171	
30	0	16521860	
31	1	8399340	
32	1	14532267	
33	1	14401085	
34	1	730052	
35	1	6222193	
36	0	16557128	
37	1	1070362	
38	0	16542402	
39	1	144559	
40	1	12382136	
41	1	2404170	
42	0	16618043	
43	1	7063169	
44	0	16515948	
45	0	16537374	
46	0	16587830	
47	0	16533734	
48	0	16568267	
49	0	16524280	
50	0	16533190	
51	1	862605	
52	1	5022188	
53	0	16567052	
54	1	5930335	
55	1	3241974	
56	1	3546171	
57	0	16535768	
58	1	16326899	
59	1	332657	
60	0	16545387	
61	1	10678959	
62	1	8253466	
63	0	16516566	
64	1	5654776	
65	0	16541076	
66	1	11021038	
67	1	684636	
68	1	10717826	
69	1	15128203	
70	0	16528348	
71	0	16531471	
72	1	4618015	
73	0	16549634	
74	0	16540709	
75	0	16545990	
76	0	16527442	
77	0	16573759	
78	1	2343389	
79	1	2845110	
80	1	7423543	
81	0	16532392	
82	1	3556059	
83	1	12927954	
84	0	16562083	
85	1	10597474	
86	0	16541314	
87	1	2623152	
88	1	10604094	
89	0	16569025	
90	1	14287465	
91	1	7512846	
92	0	16575482	
93	1	14144285	
94	0	16583573	
95	0	16624200	
96	1	8305625	
97	0	16571135	
98	1	14027531	
99	0	16553704	
